"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
2896,EP,054-632-752-025-791,2021-11-24,EP 17856009 A,2017-09-22,PIEZOELECTRIC SUBSTRATE ATTACHMENT STRUCTURE AND SENSOR MODULE,MITSUI CHEMICALS INC,,6,0,G01L1/16;;H10N30/88;;H10N30/60;;H10N30/302;;H10N30/857;;G01L1/16;;H10N30/60;;H10N30/30;;H10N30/88;;H10N30/302;;H10N30/857,G01L1/16;;H10N30/30;;H10N30/60;;H10N30/857;;H10N30/88,
2897,EP,020-642-842-366-544,2018-04-18,EP 16811585 A,2016-06-13,METHOD FOR PRODUCING PLASTIC LENS AND DEVICE FOR PRODUCING PLASTIC LENS,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,1,B29C39/22;;B29C39/24;;B29B7/7466;;B29B7/16;;C08G18/3876;;C08G18/758;;B29L2011/0016;;B29C39/24;;G02B3/00;;B29L2011/0016;;B29B7/16;;B29D11/00413;;B29D11/00432;;B29D11/00538;;B29C39/006;;B29K2033/08;;B29K2071/00;;B29K2083/00;;C08G18/61;;C08L83/12;;G02B1/041;;B29K2075/00;;C08G18/758;;C08G18/242;;C08G18/3876;;C08G18/284;;C08G77/46;;B29B7/325;;B29B7/748;;B29B7/94;;B29B7/24;;B29B7/26;;B29C39/02;;B29D11/00442;;B29D11/00538;;C08K5/06;;C08K5/10;;C08L27/22;;C08L83/12;;G02B1/041;;B29B7/325;;B29K2071/00;;C08G18/61;;G02B1/041;;C08G18/758;;C08G18/242;;C08G18/3876;;G02B3/00;;G02B1/04;;B29C39/24;;B29B7/16;;B29B7/7466;;B29C39/006;;B29K2075/00;;B29B7/7461;;B29B7/04;;B29B7/44;;B29D11/00432;;B29D11/00538;;C08G18/284;;B29L2011/0016;;B29K2083/00;;B29D11/00413;;B29B7/7485;;B29K2033/08;;C08L83/12;;C08G77/46;;B29D11/00442;;C08G18/3851;;C08G18/65,B29C39/24;;B29C39/02;;B29L11/00;;G02B1/04;;G02B3/00,
2898,EP,017-528-444-500-712,2023-10-11,EP 15869976 A,2015-12-15,"SELF-REPAIRING POLYURETHANE RESIN MATERIAL, SELF-REPAIRING POLYURETHANE RESIN, SELF-REPAIRING COATING MATERIAL, SELF-REPAIRING ELASTOMER MATERIAL, METHOD FOR PRODUCING SELF-REPAIRING POLYURETHANE RESIN MATERIAL, AND METHOD FOR PRODUCING SELF-REPAIRING POLYURETHANE RESIN",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",5,0,C08G18/73;;C09D175/04;;C08G18/4825;;C08G18/485;;C08G18/4854;;C08G18/61;;C08G18/6229;;C08G18/7837;;C08G18/792;;C08G18/12;;C08G18/1875;;C08G18/246;;C08G18/282;;C08G18/2825;;C08G18/283;;C08G18/3203;;C08G18/3206;;C08G18/44;;C08K5/524;;C08G18/10;;C08G18/42;;C08G18/44;;C08G18/735;;C08G18/7837;;C09D175/04;;C08G18/73;;C09D175/04;;C08G18/246;;C08G18/2825;;C08G18/6229;;C08G18/792;;C08G18/44;;C08G18/61;;C08G18/3206;;C08G18/283;;C08G18/1875;;C08G18/4854;;C08G18/4825;;C08G18/282;;C08G18/3203;;C08G18/485;;C08G18/12;;C08K5/524;;C08G18/7837;;C08G18/10,C08G18/10;;C08G18/12;;C08G18/18;;C08G18/24;;C08G18/28;;C08G18/32;;C08G18/44;;C08G18/48;;C08G18/61;;C08G18/62;;C08G18/73;;C08G18/78;;C08G18/79;;C08K5/524;;C09D175/04,
2899,US,130-074-474-728-323,2022-06-14,US 201615735706 A,2016-06-13,Process for producing plastic lens and apparatus for producing plastic lens,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2017-08-30),43,0,B29C39/22;;B29B7/16;;B29B7/7466;;B29C39/24;;B29L2011/0016;;C08G18/3876;;C08G18/758;;B29B7/16;;B29B7/325;;B29B7/748;;B29B7/94;;B29C39/006;;B29C39/24;;B29D11/00413;;B29D11/00432;;B29D11/00538;;B29K2033/08;;B29K2071/00;;B29K2075/00;;B29K2083/00;;B29L2011/0016;;C08G18/242;;C08G18/284;;C08G18/3876;;C08G18/61;;C08G18/758;;C08G77/46;;C08L83/12;;G02B1/041;;G02B3/00;;B29C39/02;;B29B7/24;;B29B7/26;;B29D11/00442;;B29D11/00538;;C08K5/06;;C08K5/10;;C08L27/22;;C08L83/12;;G02B1/041;;B29D11/00442;;B29B7/04;;B29B7/16;;B29B7/325;;B29B7/44;;B29B7/7461;;B29B7/7466;;B29B7/7485;;B29C39/006;;B29C39/24;;B29D11/00413;;B29D11/00432;;B29D11/00538;;B29K2033/08;;B29K2071/00;;B29K2075/00;;B29K2083/00;;B29L2011/0016;;C08G18/242;;C08G18/284;;C08G18/3851;;C08G18/3876;;C08G18/61;;C08G18/65;;C08G18/758;;C08G77/46;;C08L83/12;;G02B1/04;;G02B1/041;;G02B3/00,B29D11/00;;B29B7/04;;B29B7/16;;B29B7/32;;B29B7/44;;B29B7/74;;B29C39/00;;B29C39/24;;B29K33/00;;B29K71/00;;B29K75/00;;B29K83/00;;B29L11/00;;C08G18/24;;C08G18/28;;C08G18/38;;C08G18/61;;C08G18/65;;C08G18/75;;C08G77/46;;C08L83/12;;G02B1/04;;G02B3/00,
2900,US,059-118-969-063-465,2022-10-04,US 201716335513 A,2017-09-22,Piezoelectric substrate attachment structure and sensor module,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2018-11-09),15,4,G01L1/16;;H10N30/88;;H10N30/60;;H10N30/302;;H10N30/857;;G01L1/16;;H10N30/60;;H10N30/30;;H10N30/88;;H10N30/302;;H10N30/857,G01L1/16;;H10N30/30;;H10N30/60;;H10N30/857;;H10N30/88,
2901,US,042-542-016-473-102,2017-07-27,US 201515324108 A,2015-07-08,DENTAL PROSTHESIS,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2016-12-14),1,3,A61C5/77;;A61C5/00;;A61C8/0013;;A61C13/00;;A61C13/087;;A61K6/20;;A61K6/80;;A61K6/887;;A61L27/34;;A61L27/50;;A61L2400/18;;A61L2420/06;;A61L2430/12;;A61C13/0003;;A61C8/0013;;A61L27/28;;A61L27/34;;A61K6/891;;A61C5/00;;A61C5/77;;A61C8/0013;;A61C13/00;;A61C13/0012;;A61C13/087;;A61K6/20;;A61K6/80;;A61K6/887;;A61L27/34;;A61L27/50;;A61L2400/18;;A61L2420/06;;A61L2430/12,A61C5/77;;A61C8/00;;A61C13/00;;A61K6/891,
2902,EP,022-660-066-225-862,2002-02-27,EP 00964684 A,2000-10-05,"METALLOCENE COMPOUND, PROCESS FOR PRODUCING METALLOCENE COMPOUND, OLEFIN POLYMERIZATION CATALYST, PROCESS FOR PRODUCING POLYOLEFIN, AND POLYOLEFIN",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",8,0,C07F17/00;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08F110/06;;C08F2420/09;;Y10S526/943;;C07F7/08;;C07F17/00;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08F110/06;;Y10S526/943,C07F17/00;;C08F4/64;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06,
2903,EP,170-266-268-301-668,2020-07-08,EP 17195169 A,2014-08-12,"BLOCKED ISOCYANATE, COATING COMPOSITION, ADHESIVE COMPOSITION, AND ARTICLE",MITSUI CHEMICALS INC,,4,0,C08G18/807;;C08G18/8074;;C08G18/8077;;C08G18/808;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/8074;;C08G18/808;;C08L75/04;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04,C08G18/80;;C08G18/28;;C08G18/32;;C08G18/62;;C08G18/79;;C09D175/04;;C09J175/04,
2904,EP,070-622-769-860-92X,2022-12-07,EP 21747321 A,2021-01-29,"MEMBER FOR ELECTRIC CONDUCTION, METHOD FOR MANUFACTURING MEMBER FOR ELECTRIC CONDUCTION, POWER CONVERSION DEVICE, MOTOR, SECONDARY BATTERY MODULE, AND SECONDARY BATTERY PACK",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,1,Y02E60/10;;H01M50/505;;H01M50/522;;H01M50/524;;B29C45/14311;;B29C2045/14327;;H01B1/02;;H01B13/0026;;H02K3/30;;H01M50/50;;Y02E60/10;;H01M50/522;;H01M50/524;;B29C45/14311;;B29C2045/14868;;B29K2077/00;;B29K2705/02;;B29K2705/10;;B29L2031/3468;;C08L77/06;;H01B1/02;;H01B3/306;;H01B3/441;;H01B13/0036;;H01B13/06;;H02K3/50;;H02K2203/09,H01B7/00;;H01B13/00;;H01M50/50;;H02K3/30;;H02K3/38;;H02K3/50,
2905,EP,106-825-151-225-224,2017-03-29,EP 15796384 A,2015-05-12,HYDROPHILIC SINGLE-LAYER FILM,MITSUI CHEMICALS INC,,0,0,C08J7/043;;B32B7/06;;B32B7/12;;B32B9/045;;B32B15/08;;B32B27/08;;B32B27/10;;B32B27/16;;B32B27/283;;B32B27/30;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/308;;B32B27/32;;B32B27/36;;B32B27/365;;B32B27/38;;B32B27/40;;B32B29/00;;B32B2250/02;;B32B2255/06;;B32B2255/10;;B32B2255/12;;B32B2255/26;;B32B2255/28;;B32B2262/101;;B32B2264/104;;B32B2307/21;;B32B2307/412;;B32B2307/518;;B32B2307/728;;B32B2307/732;;B32B2307/754;;B32B2405/00;;B32B2419/00;;B32B2457/20;;B32B2471/00;;B32B2479/00;;B32B2605/00;;B32B2607/00;;C08F212/30;;C08F220/26;;C08F222/102;;C08F222/103;;C08F222/104;;C08J7/044;;C08J7/046;;C08J7/054;;C08J7/056;;C09D133/04;;C09D133/24;;C09D135/02;;C09D157/00;;C09D157/06;;C09D157/10;;C09D157/00;;B32B27/30;;C08F220/26;;C08F222/102;;C08F222/103;;C08F222/104;;C09D5/16;;C09D133/04;;C09D133/24;;C09D157/06;;C09D157/10;;C08J7/043;;B32B7/06;;B32B7/12;;B32B9/045;;B32B15/08;;B32B27/08;;B32B27/10;;B32B27/16;;B32B27/283;;B32B27/30;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/308;;B32B27/32;;B32B27/36;;B32B27/365;;B32B27/38;;B32B27/40;;B32B29/00;;B32B2250/02;;B32B2255/06;;B32B2255/10;;B32B2255/12;;B32B2255/26;;B32B2255/28;;B32B2262/101;;B32B2264/104;;B32B2307/21;;B32B2307/412;;B32B2307/518;;B32B2307/728;;B32B2307/732;;B32B2307/754;;B32B2405/00;;B32B2419/00;;B32B2457/20;;B32B2471/00;;B32B2479/00;;B32B2605/00;;B32B2607/00;;C08F12/30;;C08F212/30;;C08F220/26;;C08F222/102;;C08F222/103;;C08F222/104;;C08J7/044;;C08J7/046;;C08J7/054;;C08J7/056;;C09D5/16;;C09D133/04;;C09D133/14;;C09D133/24;;C09D135/02;;C09D157/00;;C09D157/06;;C09D157/10,C09D157/00;;B32B27/30;;C08F212/14;;C08F220/26;;C08J7/043;;C08J7/044;;C08J7/046;;C08J7/054;;C08J7/056;;C09D5/16;;C09D133/04;;C09D133/24;;C09D157/06;;C09D157/10,
2906,EP,003-796-592-642-918,2009-04-08,EP 07790645 A,2007-07-11,POLYLACTIC ACID RESIN COMPOSITION AND MOLDED BODY THEREOF,MITSUI CHEMICALS INC,,0,6,C08L67/04;;C08K5/0083;;C08K5/20;;C08L67/04;;C08G63/06;;C08J5/00;;C08K5/0083;;C08K5/20;;C08L2201/02;;C08L2201/10;;C08L2205/02;;C08L67/04;;C08K5/0083;;C08K5/20,C08L67/04;;C08G63/06;;C08J5/00;;C08K5/05;;C08K5/10;;C08K5/20;;C08L101/16,
2907,US,112-855-037-012-326,2020-07-09,US 201816631255 A,2018-07-09,METHOD OF PRODUCING ELECTRONIC DEVICE,MITSUI CHEMICALS TOHCELLO INC,MITSUI CHEMICALS TOHCELLO INC (2019-12-06),0,2,H01L21/6836;;H01L21/561;;H01L21/568;;H01L23/552;;H01L24/11;;H01L24/13;;H01L24/16;;H01L2221/68327;;H01L2221/68336;;H01L2221/6834;;H01L2221/68386;;H01L2224/1132;;H01L2224/1134;;H01L2224/1146;;H01L2224/13111;;H01L2224/13113;;H01L2224/13116;;H01L2224/13139;;H01L2224/13144;;H01L2224/13147;;H01L2224/16227;;H01L2224/81191;;H01L2224/94;;H01L23/552;;H01L23/293;;H01L23/3142;;H01L23/49816;;H01L23/552;;H01L24/83;;H01L2224/8385;;H05K9/0081,H01L23/552;;H01L23/00;;H05K9/00,
2908,EP,109-448-642-578-76X,2024-09-25,EP 22895589 A,2022-11-15,RESIN COMPOSITION AND USE THEREOF,MITSUI CHEMICALS INC,,0,0,C09D7/65;;C08L23/08;;C08F210/16;;C08F4/65912;;C08G18/3814;;C08G18/10;;C09D175/08;;C09J175/08;;C08L101/00;;C08L23/14;;C08L75/04;;C08L63/00;;C08G18/08;;C08F210/06;;C08F4/6592;;C09D7/65;;C09D201/00;;C09D123/14;;C09J11/08;;C09J201/00;;C09J123/14;;C08F210/16;;C08J3/005;;C08J2375/04;;C08J2423/14;;C08L75/04;;C08L2314/06;;C09D175/04;;C09J175/04,C08L23/08;;C08F4/6592;;C08G18/08;;C08L63/00;;C08L75/04;;C09D7/65;;C09D123/08;;C09D201/00,
2909,EP,021-535-548-464-71X,2004-01-02,EP 03012138 A,2003-06-02,Binder resin for toner and toner,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",2,1,G03G9/08788;;C08L53/00;;C08L67/00;;C08L75/06;;G03G9/08704;;G03G9/08708;;G03G9/08755;;G03G9/08764;;G03G9/087;;G03G9/08788;;C08L53/00;;C08L67/00;;C08L75/06;;G03G9/08704;;G03G9/08708;;G03G9/08755;;G03G9/08764,G03G9/087;;C08L53/00;;C08L67/00;;C08L75/06,
2910,EP,114-398-493-470-672,2005-07-13,EP 03808899 A,2003-10-10,PHOTOSENSITIVE RESIN COMPOSITION FOR LITHOGRAPHIC PRINTING FORME AND ORIGINAL FORME FOR LITHOGRAPHIC PRINTING,MITSUI CHEMICALS INC,,0,0,G03F7/033;;B41C1/1008;;B41C1/1041;;B41C2210/04;;B41C2210/08;;B41C2210/24;;B41M5/368;;G03F7/038;;B41N1/14;;G03F7/033;;B41C1/1008;;B41C1/1041;;B41C2210/04;;B41C2210/08;;B41C2210/24;;B41M5/368;;G03F7/038,B41C1/10;;B41M5/36;;B41N1/14;;G03F7/033;;G03F7/038,
2911,EP,128-530-250-612-385,2008-11-19,EP 07708398 A,2007-02-15,ENVIRONMENTAL STRESS RUPTURE RESISTANCE MODIFIER AND ENVIRONMENTAL STRESS RUPTURE RESISTANCE-MODIFIED RESIN COMPOSITION CONTAINING SAME,MITSUI CHEMICALS INC;;PRIME POLYMER CO LTD,,0,1,C08K5/13;;C08F110/02;;C08F210/16;;C08F297/08;;C08F297/083;;C08L23/06;;C08K5/13;;C08F110/02;;C08F210/16;;C08F297/08;;C08F297/083;;C08L23/06,C08K5/13;;C08F10/02;;C08F297/08;;C08L23/00,
2912,EP,006-320-955-490-921,2020-05-06,EP 14838082 A,2014-08-12,"BLOCKED ISOCYANATE, COATING COMPOSITION, ADHESIVE AGENT COMPOSITION, AND ARTICLE",MITSUI CHEMICALS INC,,15,0,C08G18/807;;C08G18/8074;;C08G18/8077;;C08G18/808;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/8074;;C08G18/808;;C08L75/04;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04,C08G18/80;;C08G18/28;;C08G18/32;;C08G18/62;;C08G18/79;;C09D175/04;;C09J175/04,
2913,EP,049-645-270-887-729,2002-05-29,EP 96304490 A,1996-06-17,Transparent heater panels and method of making them,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (1998-10-21)",3,1,H05B3/86;;H05B2203/017;;H05B3/84;;H05B3/86;;H05B2203/017,H05B3/86,
2914,EP,007-543-020-155-241,2016-06-29,EP 14838082 A,2014-08-12,"BLOCKED ISOCYANATE, COATING COMPOSITION, ADHESIVE AGENT COMPOSITION, AND ARTICLE",MITSUI CHEMICALS INC,,0,3,C08G18/807;;C08G18/8074;;C08G18/8077;;C08G18/808;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/8074;;C08G18/808;;C08L75/04;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04,C08G18/80;;C08G18/28;;C08G18/32;;C08G18/62;;C08G18/79;;C09D175/04;;C09J175/04,
2915,US,063-080-261-085-451,2023-05-11,US 202117795743 A,2021-01-29,"MEMBER FOR ELECTRIC CONDUCTION, METHOD FOR MANUFACTURING MEMBER FOR ELECTRIC CONDUCTION, POWER CONVERSION DEVICE, MOTOR, SECONDARY BATTERY MODULE, AND SECONDARY BATTERY PACK",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2022-04-22),9,0,Y02E60/10;;H01M50/505;;H01M50/522;;H01M50/524;;B29C45/14311;;B29C2045/14327;;H01B1/02;;H01B13/0026;;H02K3/30;;H01M50/50;;Y02E60/10;;H01M50/522;;H01M50/524;;B29C45/14311;;B29C2045/14868;;B29K2077/00;;B29K2705/02;;B29K2705/10;;B29L2031/3468;;C08L77/06;;H01B1/02;;H01B3/306;;H01B3/441;;H01B13/0036;;H01B13/06;;H02K3/50;;H02K2203/09,H01B3/30;;C08L77/06;;H01B1/02;;H01B3/44;;H01B13/00;;H01B13/06;;H01M50/522;;H01M50/524;;H02K3/50,
2916,EP,012-892-965-115-288,2023-02-08,EP 21776658 A,2021-03-18,LITHIUM SECONDARY BATTERY,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,0,H01M10/0567;;H01M10/0569;;H01M4/525;;H01M4/587;;H01M4/131;;Y02E60/10;;H01M4/623;;H01M10/0525;;H01M10/0568;;H01M2004/028;;H01M2300/004;;H01M2300/0025;;H01M4/0404;;H01M4/505;;H01M4/525;;H01M4/583;;H01M4/623;;H01M10/052;;H01M10/0568;;H01M10/0569;;H01M2004/027;;H01M2004/028;;H01M2300/004;;H01M2300/0051,H01M4/131;;H01M4/505;;H01M4/525;;H01M4/587;;H01M4/62;;H01M10/052;;H01M10/0567;;H01M10/0569,
2917,EP,018-080-913-589-929,2009-08-12,EP 07827957 A,2007-10-29,"RESIN COMPOSITION FOR TONER, AND TONER USING THE RESIN COMPOSITION",MITSUI CHEMICALS INC,,0,0,C08G18/62;;C08G18/0895;;C08G18/6229;;C08G18/7621;;G03G9/08711;;G03G9/08782;;G03G9/08793;;G03G9/08795;;Y10S525/91;;Y10S525/941;;G03G9/08;;C08L75/04;;G03G9/087;;C08G18/62;;C08G18/0895;;C08G18/6229;;C08G18/7621;;G03G9/08711;;G03G9/08782;;G03G9/08793;;G03G9/08795;;Y10S525/91;;Y10S525/941,G03G9/087;;C08G18/62;;C08L75/04;;C08L91/06;;G03G9/08,
2918,US,072-457-512-729-201,2004-05-20,US 67156503 A,2003-09-29,Metal laminate,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2003-09-18),8,8,B32B27/34;;B32B15/08;;C08G73/12;;C08G73/123;;C08G73/124;;C08G73/125;;C08G73/126;;C08L79/085;;H05K1/0346;;H05K2201/0154;;Y10T428/31678;;Y10T428/31721;;B32B27/34;;B32B15/08;;C08G73/12;;C08G73/123;;C08G73/124;;C08G73/125;;C08G73/126;;C08L79/085;;H05K1/0346;;H05K2201/0154;;Y10T428/31678;;Y10T428/31721,B32B15/08;;B32B27/34;;C08G73/12;;C08L79/08;;H05K1/03,428/473.5;;428/457
2919,US,184-490-970-514-123,2012-02-21,US 44921508 A,2008-02-01,Water-based amino resin and water-based thermosetting resin composition containing the same,MIYATA GEN;;SAITOU YOSHITOMO;;MAEDA SUNAO;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2009-04-09),9,0,C09D161/34;;C08G14/06;;C08G12/02;;C08G12/06;;C08L61/20;;C09D161/20;;C09D161/34;;C08G14/06,C08L61/22;;C08G12/06,524/597;;528/269
2920,US,137-170-821-329-883,1999-06-15,US 66167396 A,1996-06-11,Corrosion-proof transparent heater panels and preparation process thereof,MITSUI CHEMICALS INC,MITSUI TOATSU CHEMICALS INC (1996-08-01);;MITSUI CHEMICALS INC (1997-12-19),11,59,H05B3/86;;H05B2203/017;;H05B3/84;;H05B3/86;;H05B2203/017,H05B3/86,219/522;;219/528;;219/530
2921,EP,160-728-030-321-125,2007-08-08,EP 05806773 A,2005-11-11,"LAMINATE COMPRISING MULTILAYERED FILM BONDED THROUGH HYDROGEN BOND, SELF-SUPPORTING THIN FILM PROVIDED FROM SAID LAMINATE, AND THEIR PRODUCTION PROCESS AND USE",MITSUI CHEMICALS INC;;CENTRE NAT RECH SCIENT,,0,4,C12N5/0068;;C12N11/00;;C12N2533/40;;Y10T428/1352;;Y10T428/265;;B32B27/00;;C12N5/0068;;C12N11/00;;C12N2533/40;;Y10T428/1352;;Y10T428/265,B32B7/06;;A61J3/07;;B32B27/00;;C12M3/00;;C12N5/07;;C12N5/071;;G01N1/28,
2922,EP,192-375-234-360-097,1999-02-10,EP 98114716 A,1998-08-05,"4-Methyl-1-pentene polymer compositions, and the laminates and adhesives using the compositions",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-01-26)",2,1,B32B27/32;;C08F255/08;;C08L23/20;;C08L51/06;;C08L2205/02;;C08L2666/02;;C08L2666/04;;C08L2666/24;;C09J123/20;;C09J151/06;;Y10T428/31645;;Y10T428/31692;;Y10T428/31855;;B32B27/08;;B32B27/306;;B32B27/32;;B32B27/34;;B32B2377/00;;B32B2439/00;;B32B2457/08;;C08F255/08;;C08L23/20;;C08L51/06;;C08L2205/02;;C08L2666/02;;C08L2666/04;;C08L2666/24;;C09J123/20;;C09J151/06;;Y10T428/31645;;Y10T428/31692;;Y10T428/31855,B32B27/32;;C08F255/08;;C08L23/20;;C08L51/06;;C09J123/20;;C09J151/06,
2923,US,018-011-830-870-96X,2024-10-24,US 202218686585 A,2022-11-15,RESIN COMPOSITION AND USE THEREOF,MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2024-01-12),0,0,C09D7/65;;C08L23/08;;C08F210/16;;C08F4/65912;;C08G18/3814;;C08G18/10;;C09D175/08;;C09J175/08;;C08L101/00;;C08L23/14;;C08L75/04;;C08L63/00;;C08G18/08;;C08F210/06;;C08F4/6592;;C09D7/65;;C09D201/00;;C09D123/14;;C09J11/08;;C09J201/00;;C09J123/14;;C08F210/16;;C08J3/005;;C08J2375/04;;C08J2423/14;;C08L75/04;;C08L2314/06;;C09D175/04;;C09J175/04,C08L75/04;;C08F210/16;;C08J3/00;;C09D175/04;;C09J175/04,
2924,EP,025-812-311-493-684,2021-12-29,EP 11729690 A,2011-05-20,"A POLYMERIZATION CATALYST FOR POLYTHIOURETHANES, POLYMERIZABLE LIQUID COMPOSITION AND PROCESS FOR THE PRODUCTION OF ORGANIC POLYTHIOURETHANE GLASS WITH A HIGH REFRACTIVE INDEX",MITSUI CHEMICALS INC,,3,0,C08G18/089;;C08G18/18;;C08G18/3876;;C08G18/758;;C08G2125/00;;G02B1/04;;G02B1/043;;G11B7/2533;;C08G18/16;;C08G18/38;;C08G18/75;;G02B1/04;;G02B1/041;;C08G18/089;;C08G18/18;;C08G18/3876;;C08G18/758;;C08G2125/00;;G02B1/04;;G02B1/043;;G11B7/2533,C08G18/16;;C08G18/08;;C08G18/38;;C08G18/75;;G02B1/04,
2925,EP,115-282-050-173-064,2021-05-26,EP 15826402 A,2015-07-24,"COATING MATERIAL FOR GAS BARRIER, GAS BARRIER FILM, AND LAMINATE",MITSUI CHEMICALS TOHCELLO INC,,3,0,C09D7/61;;B32B27/30;;C08J7/0427;;C08J7/043;;C08J7/048;;C08J2433/02;;C08J2479/02;;C08K3/00;;C08K5/00;;C08L79/02;;C09D7/40;;C09D133/02;;C09D179/02;;C09D133/02;;B32B27/30;;B32B2307/7242;;C09D7/40;;C09D179/02;;C09D7/61;;B32B27/06;;B32B27/30;;B32B37/06;;B32B2307/7242;;C08J7/0427;;C08J7/043;;C08J7/048;;C08J7/16;;C08J2367/02;;C08J2433/02;;C08J2479/02;;C08K3/00;;C08K3/22;;C08K5/00;;C08K2003/2296;;C08L79/02;;C09D4/06;;C09D5/00;;C09D7/40;;C09D133/02;;C09D179/02,C09D133/02;;B32B27/00;;C08J7/043;;C08J7/048;;C08K3/00;;C08K5/00;;C08L33/02;;C08L79/02;;C09D7/61;;C09D179/02,
2926,EP,156-272-208-546-501,2018-02-21,EP 17195169 A,2014-08-12,"BLOCKED ISOCYANATE, COATING COMPOSITION, ADHESIVE COMPOSITION, AND ARTICLE",MITSUI CHEMICALS INC,,5,0,C08G18/807;;C08G18/8074;;C08G18/8077;;C08G18/808;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/8074;;C08G18/808;;C08L75/04;;C09D175/04;;C09J175/04;;C08G18/8077;;C08G18/285;;C08G18/2855;;C08G18/286;;C08G18/2865;;C08G18/287;;C08G18/3246;;C08G18/6229;;C08G18/6254;;C08G18/792;;C08G18/8064;;C08G18/807;;C08G18/8074;;C08G18/808;;C08G18/8096;;C09D175/04;;C09J175/04,C08G18/80;;C08G18/28;;C08G18/32;;C08G18/62;;C08G18/79;;C09D175/04;;C09J175/04,
