"#",Lens ID,Title,Applicants
24,174-838-296-431-482,HETEROPHASIC POLYPROPYLENE COMPOSITION WITH HIGH MELTING POINT,BOREALIS AG
25,002-631-460-495-096,ASPHALT CONTAINING RECYCLED WASTE PLASTIC,UNIV IMAM ABDULRAHMAN BIN FAISAL
26,124-766-025-074-336,"POLYPROPYLENE FILM, POLYPROPYLENE FILM INTEGRATED WITH METAL LAYER, AND FILM CAPACITOR",OJI HOLDINGS CORP
27,083-208-257-032-926,"BIAXIALLY ORIENTED POLYPROPYLENE FILM, METHOD FOR PRODUCING SAME, METALLIZED FILM, AND CAPACITOR",OJI HOLDINGS CORP
28,120-015-711-563-743,POLYPROPYLENE FIBER FOR FIBER CEMENT-REINFORCED COMPOSITES,BRASKEM SA;;UNIV DE SAO PAULO
29,000-297-242-862-800,FLAME RETARDANT POLYPROPYLENE COMPOSITION,BOREALIS AG
30,101-310-421-985-115,FLAME RETARDANT POLYPROPYLENE COMPOSITION,BOREALIS AG
31,176-193-557-221-975,PROPYLENE COMPOSITE MATERIAL COMPOSITION AND MOLDED ARTICLE USING THE SAME,SK INNOVATION CO LTD;;SK GEO CENTRIC CO LTD
32,121-740-275-527-073,FLAME RETARDANT POLYPROPYLENE COMPOSITION,BOREALIS AG
33,065-769-209-647-990,"POLYPROPYLENE RESIN FOAM PARTICLES, POLYPROPYLENE RESIN FOAM MOLDED BODY, AND METHOD FOR PRODUCING POLYPROPYLENE RESIN FOAM PARTICLES",KANEKA CORP
34,019-781-130-619-982,COMPOSITION COMPRISING POLYPROPYLENE AND POLYETHYLENE,SABIC GLOBAL TECHNOLOGIES BV
35,022-663-306-077-218,FLAME RETARDANT POLYPROPYLENE COMPOSITION,BOREALIS AG
36,002-624-953-401-742,LAMINATED SEALANT FILM,TOYO BOSEKI
37,066-563-766-745-000,POLYPROPYLENE RESIN COMPOSITION AND ARTICLE PRODUCED THEREFROM,LOTTE CHEMICAL CORP
38,038-586-960-298-386,High melt strength polypropylene,BOREALIS AG
39,125-852-027-523-34X,"MODIFIED POLYETHYLENE/POLYPROPYLENE, AND PREPARATION METHOD THEREFOR AND USE THEREOF",UNIV WEST ANHUI
40,099-038-169-299-77X,PROCESS FOR THE PREPARATION OF A HETEROPHASIC POLYPROPYLENE COMPOSITION,BOREALIS AG
41,185-958-830-229-803,Gas barrier laminate and packaging material using the same,TOPPAN INC
42,139-934-457-430-116,Polymer composition for cable insulation,BOREALIS AG
43,111-345-258-700-003,POLYPROPYLENE RESIN EXTRUDED FOAM PARTICLES AND POLYPROPYLENE RESIN FOAM MOLDED BODY,KANEKA CORP;;KANEKA BELGIUM NV
44,086-715-866-233-278,PRODUCTION METHOD OF POLYPROPYLENE SHEET,SUNALLOMER LTD
45,122-987-284-134-424,"BIAXIALLY STRETCHED POLYPROPYLENE FILM AND METHOD FOR PRODUCING SAME, METALLIZED FILM, AND CAPACITOR",OJI HOLDINGS CORP
46,082-608-586-415-705,POLYPROPYLENE RESIN FOAM PARTICLES,JSP CORP
47,127-608-266-379-849,BIAXIALLY ORIENTED POLYPROPYLENE FILM,"TOYOBO CO., LTD."
48,155-364-437-394-515,Polypropylene copolymer composition having subzero impact resistance,GRACE W R & CO
49,062-587-140-654-482,HIGH IMPACT POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES B.V.
50,021-194-203-938-446,POLYPROPYLENE COMPOSITION FOR AUTOMOTIVE APPLICATIONS,BOREALIS AG
51,184-307-497-720-256,METHOD FOR PURIFYING RECLAIMED POLYPROPYLENE,PROCTER & GAMBLE
52,067-515-585-072-759,POLYPROPYLENE RESIN COMPOSITION AND MOLDED PRODUCT INCLUDING THE SAME,HYUNDAI MOTOR CO LTD;;KIA CORP;;KOLON PLASTICS INC
53,075-922-219-655-741,FLAME RETARDANT POLYPROPYLENE COMPOSITIONS WITH LASERWELDING CAPABILITY,BOREALIS AG
54,030-001-530-883-465,PROCESS FOR PREPARING HIGH MELT STRENGTH PROPYLENE POLYMER,SABIC GLOBAL TECHNOLOGIES BV
55,027-572-065-643-001,"BIAXIALLY STRETCHED POLYPROPYLENE FILM, METALLIZED FILM, AND CAPACITOR",OJI HOLDINGS CORP
56,064-516-907-124-52X,NATURAL FIBERS AND POLYPROPYLENE BASED PART OBTAINED BY INJECTION MOLDING,MATERIACT
57,059-651-739-387-662,FLAME RETARDANT POLYPROPYLENE COMPOSITIONS WITH LASER-WELDING CAPABILITY,BOREALIS AG
58,067-839-638-256-473,ANTI-NUCLEATING AGENTS FOR PIGMENTED POLYPROPYLENE RESINS,BOREALIS AG
59,159-092-264-236-402,FILM,KAO CORP
60,043-362-437-488-407,HIGH MELT FLOW POLYPROPYLENE COMPOSITION,BOREALIS AG
61,032-996-243-705-798,"POLYOLEFIN MICROPOROUS MEMBRANE, SEPARATOR FILM FOR POWER STORAGE DEVICES USING SAME, AND POWER STORAGE DEVICE",UBE CORP;;UBE MAXELL CO LTD
62,085-800-351-705-299,METHODS OF METALLIZING POLYPROPYLENE COMPOUNDS AND METALLIZED ARTICLES THEREOF,SABIC GLOBAL TECHNOLOGIES BV
63,086-792-845-247-821,COMPOSITION COMPRISING NUCLEATED POLYPROPYLENE AND CYCLIC OLEFIN POLYMER FOR CAPACITORS,BOREALIS AG;;TOPAS ADVANCED POLYMERS GMBH
64,111-824-631-227-487,COMPOSITION COMPRISING NUCLEATED POLYPROPYLENE AND CYCLIC OLEFIN POLYMER FOR CAPACITORS,BOREALIS AG;;TOPAS ADVANCED POLYMERS GMBH
65,125-516-304-853-636,"POLYMER COMPOSITION, EXTRUDED POLYMER COMPOSITION, ARTICLE COMPRISING SAID COMPOSITION AND METHOD FOR PREPARING SAID ARTICLE",QUINLYTE HOLDING B V
66,186-260-210-257-565,"Polypropylene film, metal layer laminated film using polypropylene film, and film capacitor",TORAY INDUSTRIES
67,020-487-889-549-033,ROOFING MEMBRANES AND RELATED METHODS,BMIC LLC
68,159-654-450-008-27X,POLYPROPYLENE RESIN COMPOSITION FOR INSULATING LAYER OF POWER CABLE WITH EXCELLENT WHITENING RESISTANCE AND MOLDED ARTICLE USING SAME,LOTTE CHEMICAL CORP
69,153-906-678-165-87X,"POLYMER COMPOSITION, EXTRUDED POLYMER COMPOSITION, ARTICLE COMPRISING SAID COMPOSITION AND METHOD FOR PREPARING SAID ARTICLE",QUINLYTE HOLDING B V
70,006-059-360-639-911,LOW STRESS WHITENING POLYPROPYLENE HOMOPOLYMER COMPOSITION,BOREALIS AG
71,002-247-370-655-563,LOW STRESS WHITENING POLYPROPYLENE HOMOPOLYMER COMPOSITION,BOREALIS AG
72,112-880-598-183-752,Method for manufacturing a composite electric power cable,NEXANS
73,188-407-147-457-615,POLYPROPYLENE-BASED RESIN FOAM PARTICLES AND METHOD FOR PRODUCING POLYPROPYLENE-BASED RESIN FOAM PARTICLES,JSP CORP
74,098-652-733-958-419,IMPROVED FEEDING PERFORMANCE OF LOW-MELTING POLYMER PROCESSING ADDITIVE PREBLENDS,NAT INDUSTRIALIZATION COMANY TASNEE
75,122-635-701-413-40X,"METHOD FOR PRODUCING POLYPROPYLENE-BASED RESIN FOAM PARTICLES, AND POLYPROPYLENE-BASED RESIN FOAM PARTICLES",JSP CORP
76,186-872-329-123-588,POLYPROPYLENE COMPOSITIONS WITH IMPROVED SEALING AND BARRIER PROPERTIES,BOREALIS AG
77,093-336-366-656-016,Polypropylene composition for interior automotive applications,BOREALIS AG
78,067-177-124-573-164,FEEDING PERFORMANCE OF LOW-MELTING OLYMER PROCESSING ADDITIVE PREBLENDS,NAT INDUSTRIALIZATION COMPANY TASNEE
79,109-095-286-796-419,Polypropylene composition for exterior automotive applications,BOREALIS AG
80,030-765-474-158-41X,POLYPROPYLENE COMPOSITION SUITABLE FOR PACKAGING APPLICATIONS,BOREALIS AG
81,011-221-527-029-685,A PROCESS TO IMPROVE THE UTILITY OF RECYCLED POLYPROPYLENE,SABIC GLOBAL TECHNOLOGIES B.V.
82,055-217-566-233-966,GLASS FIBER REINFORCED POLYPROPYLENE COMPOSITION,BOREALIS AG
83,025-952-419-350-268,HIGH MELT FLOW POLYPROPYLENE COMPOSITION,BOREALIS AG
84,167-542-800-771-413,Feeding performance of low-melting Polymer Processing Additive Preblends,NAT INDUSTRIALIZATION COMPANY TASNEE
85,014-312-226-529-902,BIAXIALLY ORIENTED POLYPROPYLENE-BASED FILM,TOYOBO CO LTD
86,074-256-907-001-487,MELT-BLOWN WEB MADE OF POLYPROPYLENE,SABIC GLOBAL TECHNOLOGIES BV
87,018-673-663-806-129,"Olefin-based elastomer composite resin composition for airbag chute, comprising dendrimer","CEPLA CO., LTD."
88,170-629-387-300-051,Antibacterial and antiviral degradable mask and manufacturing method thereof,UNIV NANJING FORESTRY
89,163-881-105-925-514,METHOD FOR MANUFACTURING A COMPOSITE ELECTRIC POWER CABLE,NEXANS
90,063-874-188-751-677,RECYCLATE-CONTAINING POLYPROPYLENE COMPOSITIONS WITH EXCELLENT SURFACE QUALITY,BOREALIS AG
91,016-933-786-671-16X,HANDLE FOR AN ENDOSCOPE,AMBU AS
92,061-896-149-434-999,PROPYLENE COMPOSITIONS WITH IMPROVED SEALING AND BARRIER PROPERTIES,BOREALIS AG
93,118-280-047-426-577,"CAST FILM COMPRISING POLYPROPYLENE COMPOSITION WITH IMPROVED MECHANICAL, OPTICAL AND BARRIER PROPERTIES",BOREALIS AG
94,019-339-093-749-152,BLEND OF POST-CONSUMER RECYCLED (PCR) POLYMER AND MODIFIER,BOREALIS AG
95,130-069-727-865-865,METHOD FOR DEGRADING POLYPROPYLENE BY USING HEAT-RESISTANT PSEUDOMONAS,BCEG ENV REMEDIATION CO LTD
96,179-151-696-532-62X,OLEFIN POLYMERIZATION ZIEGLER-NATTA CATALYST COMPONENTS ANDPROCESS FOR THE PRODUCTION OF OLEFIN POLYMERS THEREWITH,FORMOSA PLASTICS CORP USA
97,170-977-924-257-37X,Stitch bonded wipe,TIETEX INT LTD
98,190-599-718-797-316,Flexible seal with rodent resistant barrier,RODEXIT APS
99,142-087-355-644-344,Cavitated Polyolefin Films and Methods of Production Thereof,CONSTAB POLYOLEFIN ADDITIVES GMBH
100,196-923-311-546-259,HIGH-BARRIER COEXTRUDED POLYPROPYLENE BASED SHEETS AND PROCESSING FOR RIGID APPLICATIONS,SUPERIOR PLASTICS EXTRUSION CO INC DBA IMPACT PLASTICS
101,104-378-888-096-565,Transportable Case,PAUA TRADING LTD;;SHENZHEN TINGSHIKANG TECH LIMITED
102,096-592-204-994-137,POLYPROPYLENE BASED HOT MELT ADHESIVE COMPOSITIONS,ORGANIK KIMYA SANAYI VE TIC A S
103,066-579-818-108-561,"CATALYST COMPONENT AND CATALYST FOR OLEFIN POLYMERIZATION, AND USE THEREOF",PETROCHINA CO LTD
104,050-498-622-236-339,METHOD FOR PREPARING LONG-CHAIN BRANCHED POLYPROPYLENE,UNIV NAT CHUNG CHENG
105,027-298-694-400-089,POLYPROPYLENE RESIN COMPOSITION AND ARTICLE PRODUCED THEREFROM,LOTTE CHEMICAL CORP
106,112-315-364-115-237,"POLYPROPYLENE FILM, METAL MEMBRANE LAYERED FILM USING SAME, AND FILM CAPACITOR",TORAY INDUSTRIES
107,146-625-009-612-068,POLYPROPYLENE-BASED MULTILAYER FILM FOR CELL POUCH,LOTTE CHEMICAL CORP
108,040-398-732-069-446,SOFT POLYPROPYLENE COMPOSITION CONTAINING A RECYCLED MATERIAL,BASELL POLIOLEFINE ITALIA SRL
109,017-705-297-968-79X,Method and installation for processing polypropylene or polyethylene or polystyrene,HIG POLSKA SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA
110,042-562-008-668-602,POLYPROPYLENE RESIN COMPOSITION AND ARTICLE PRODUCED THEREFROM,롯데케미칼 주식회사
111,162-365-153-148-804,POST-CONSUMER RECYCLATED COLORED POLYPROPYLENE COMPOSITION,BOREALIS AG
112,175-227-691-498-349,REINFORCED POLYPROPYLENE MATERIAL AND PREPARATION METHOD THEREOF,KINGFA SCI & TECH CO LTD
113,170-599-510-830-425,ARTICLE COMPRISING A LAYER WITH DISPERSED GLASS FIBERS AND A LAYER WITH CONTINUOUS GLASS FIBERS,SABIC GLOBAL TECH B V
114,096-103-068-532-519,Cellulose fiber-reinforced polypropylene resin formed body and method for producing the same,FURUKAWA ELECTRIC CO LTD
115,028-918-625-743-003,Pellet-type polypropylene resin composition and method for preparing the same,LG CHEMICAL LTD
116,019-574-812-615-127,RESIN MOLDING AND RESIN COMPOSITION,FURUKAWA ELECTRIC CO LTD
117,005-802-356-489-035,Catalyst System For Enhanced Stereo-Specificity Of Olefin Polymerization,"Formosa Plastics Corporation, U.S.A."
118,192-482-158-042-700,HETEROPHASIC PROPYLENE-ETHYLENE COPLYMER/PROPYLENE-BUTYLENE RANDOM COPOLYMER,BOREALIS AG
119,140-207-458-777-087,"PHOTOVOLTAIC PACKAGING, AND A METHOD FOR MANUFACTURING SUCH A PHOTOVOLTAIC PACKAGING",SABIC GLOBAL TECHNOLOGIES BV
120,151-213-637-268-237,PATHOGEN-INACTIVATING FACIAL MASK,ABBASZADEGAN MORTEZA;;ALUM ABSAR
121,192-057-474-089-917,AROMA ADHESIVE AND MANUFACTURING METHOD THEREFOR,"SONG, Hwa Seab"
122,156-273-882-692-716,Polyolefin Composition Comprising Polypropylene Homopolymer and Recycled Plastic Material,BOREALIS AG
123,144-976-198-843-157,AROMA ADHESIVE AND MANUFACTURING METHOD THEREFOR,SONG HWA SEAB
124,093-519-110-214-013,"CATALYST COMPONENT FOR OLEFIN POLYMERIZATION, CATALYST AND USE THEREOF",PETROCHINA CO LTD
125,138-792-176-017-264,CATALYST SYSTEM FOR ENHANCED STEREO-SPECIFICITY OF OLEFIN POLYMERIZATION,"FORMOSA PLASTICS CORPORATION, U.S.A."
126,070-385-528-840-542,POLYOLEFINS COMPOSITIONS OBTAINED FROM RECYCLED POLYOLEFINS,BASELL POLIOLEFINE ITALIA SRL
127,024-268-001-263-08X,INSULATING COMPOSITION AND ELECTRIC CABLE COMPRISING SAME,LS CABLE & SYSTEM LTD
128,156-642-644-639-494,Process for preparing a cap or closure,BOREALIS AG
129,151-360-240-482-454,COMPOSITION COMPRISING POLYPROPYLENE AND CYCLIC OLEFIN POLYMER WITH IMPROVED DISPERSION PROPERTIES AND BREAKDOWN PERFORMANCE,BOREALIS AG;;TOPAS ADVANCED POLYMERS GMBH
130,012-305-139-672-649,HYDROGENATED STYRENE FARNESENE BLOCK COPOLYMER AS A MODIFIER FOR POLYPROPYLENE COMPOSITIONS,BOREALIS AG
131,138-924-119-353-335,POLYOLEFIN COMPOSITION COMPRISING POLYPROPYLENE HOMOPOLYMER AND RECYCLED PLASTIC MATERIAL,BOREALIS AG
132,150-736-300-597-429,COMPOSITION COMPRISING POLYPROPYLENE AND CYCLIC OLEFIN POLYMER WITH IMPROVED DISPERSION PROPERTIES AND BREAKDOWN PERFORMANCE,BOREALIS AG;;TOPAS ADVANCED POLYMERS GMBH
133,062-093-234-042-663,Multilayer microporous separators for lithium ion secondary batteries and related methods,CELGARD LLC
134,032-182-504-610-525,"Recyclable, high barrier sheet and tray",SONOCO DEV INC
135,077-718-950-201-989,POLYOLEFIN COMPOSITIONS OBTAINED FROM RECYCLED POLYOLEFINS,BASELL POLIOLEFINE ITALIA SRL
136,165-253-978-403-980,MULTIMODAL POLYPROPYLENE COMPOSITION WITH HIGH STIFFNESS AND HIGH FLOWABILITY AND PROCESS FOR ITS PRODUCTION,BOREALIS AG
137,082-904-509-693-10X,"ELASTOMER RESIN COMPOSITION, FILM, LAMINATE, AND MOLDED BODY",KURARAY CO
138,041-410-816-220-540,"MECHANICALLY STRENGTHENED MULTILAYER, MULTIBARRIER, DESICCANT INTERLACED COLD FORMABLE BLISTER LAMINATES, OPTIONALLY PVC-FREE",BILCARE LTD
139,160-118-495-578-897,GLASS FIBER COMPOSITE,BOREALIS AG
140,018-935-810-210-390,THERMOMETER,MEDICAL INDICATORS INC
141,067-021-451-323-110,POLYMER COMPOSITES,LYTEN INC
142,084-749-972-109-425,MULTILAYER COMPOSITE,SABIC GLOBAL TECH B V
143,059-024-074-310-106,"INSULATING RESIN COMPOSITION FOR ELECTRIC POWER CABLE, ELECTRIC POWER CABLE, AND ELECTRIC POWER CABLE CONNECTING PART",FURUKAWA ELECTRIC CO LTD
144,099-235-036-500-41X,MULTILAYER FILM,FLEXOPACK SA
145,130-101-449-871-76X,MULTILAYER FILM,FLEXOPACK SA
146,145-580-826-860-536,HOLLOW REINFORCING PANEL STRUCTURES,INT AUTOMOTIVE COMPONENTS GROUP NA INC
147,194-756-953-200-016,Stain resistant packaging film for retort applications,AMCOR FLEXIBLES NORTH AMERICA INC
148,139-486-191-415-501,BLENDS OF POLYOLEFINS WITH FUNCTIONALIZED POLYBUTADIENES,BRASKEM AMERICA INC
149,039-241-296-563-438,THERMOMETER,MEDICAL INDICATORS INC
150,130-604-590-256-955,METHOD AND DEVICE FOR THE DESTRUCTIVE DISTILLATION OF POLYETHYLENE AND POLYPROPYLENE WASTE,SEIDAMETOV RAMZI ISKANDEROVICH;;SETMANBETOV SABRI NARIMANOVICH
151,023-444-467-146-567,Herbicidal Compositions,SYNGENTA CROP PROTECTION AG
152,152-332-015-759-267,POLYPROPYLENE RESIN COMPOSITION AND MOLDED ARTICLE CONTAINING THE SAME,현대자동차주식회사;;기아 주식회사;;코오롱이앤피 주식회사
153,042-664-100-060-63X,Formulations usable in additive manufacturing of a three-dimensional object made of a soft material,STRATASYS LTD
154,034-410-338-537-848,Absorbent article comprising a lotion resistant polymeric filler composition,The Procter & Gamble Company
155,067-112-966-702-48X,BICOMPONENT FIBER,SABIC GLOBAL TECHNOLOGIES BV
156,015-282-288-531-268,UPCYCLING OF POLYETHYLENE AND POLYPROPYLENE AND THEIR MIXTURES TO HIGH-VALUE SURFACTANTS,VIRGINIA TECH INTELLECTUAL PROPERTIES INC
157,170-731-380-892-753,HIGH FLOW POLYPROPYLENE COMPOSITION FOR INJECTION MOULDING APPLICATIONS,BOREALIS AG
158,196-348-985-142-332,DECORATIVE SHEET AND DECORATIVE MATERIAL,TOPPAN HOLDINGS INC
159,093-161-117-132-463,Herbicidal Compositions,SYNGENTA CROP PROTECTION AG
160,052-322-347-392-401,Process for obtaining a metal-free coextruded bi-oriented of 7 layers film for packaging by triple-bubble process used for sterilization processes up to 135° C,ZUBEX IND SA DE CV
161,003-615-467-267-463,Film Former,ELEMENTIS SPECIALTIES INC
162,073-411-840-405-92X,Biodegradable marker pen,SUNNY PRO CO LTD
163,057-775-534-836-980,"BIODEGRADABLE HOSPITAL CURTAIN AND CURTAIN SYSTEM, METHOD OF MAKING AND COMPOSITION",BANNACK MEDICAL LLC
164,161-268-955-528-883,DECORATIVE SHEET AND DECORATIVE MATERIAL,TOPPAN HOLDINGS INC
165,117-742-760-075-669,"SECONDARY LABEL FOR A PRESCRIPTION MEDICATION, PHARMACEUTICAL CONTAINER FOR A PRESCRIPTION MEDICATION, AND METHOD FOR LABELING A PHARMACEUTICAL CONTAINER",WESTROCK MWV LLC
166,161-286-360-743-022,Nonwoven Webs Made from Multicomponent Filaments and Process for Forming Nonwoven Webs,KIMBERLY CLARK CO
167,029-988-754-282-434,COOLING FLOOR MEMBER,NIPPON STEEL CORP
168,164-352-027-663-661,SEPARATOR,BENQ MATERIALS CORP
169,053-082-635-922-055,SUPERHYDROPHOBIC SELF-LUMINOUS CONCRETE MATERIAL FOR 3D PRINTING AND METHOD FOR PREPARING SAME,UNIV SHANDONG
170,132-343-154-501-627,Multi-layer waterproof structure of buildings and method of multi-layer waterproofing of buildings,PERIGENIS ENTPR LTD
171,177-500-141-058-792,POLYAMIDE RESIN COMPOSITION AND RELEASE FILM USING SAME,UBE CORP
172,048-254-336-594-255,"PELLETS, MOLDED ARTICLE, AND METHOD FOR PRODUCING PELLETS","MITSUBISHI GAS CHEMICAL COMPANY, INC."
173,065-661-833-201-146,COATED ROOFING MATERIALS,"Owens Corning Intellectual Capital, LLC"
174,009-287-376-629-033,PROCESS FOR THE PRODUCTION AND PURIFICATION OF TRIFLUOROETHYLENE,Arkema France
175,133-785-267-991-962,"BIODEGRADABLE HOSPITAL CURTAIN AND CURTAIN SYSTEM, METHOD OF MAKING AND COMPOSITION",BANNACK MEDICAL LLC
176,133-810-249-108-410,SYSTEMS AND METHODS FOR REMOVING BITTER TASTE FROM LIQUID BEVERAGES,PARISH JR WILLIAM L;;BABCOCK MARTIN
177,024-024-679-556-715,FOOD PACKAGING PRODUCTS AND METHODS,SONOCO DEV INC
178,174-297-843-093-277,MULTILAYERED HIGH-TEMPERATURE DIELECTRIC FILM,PEAK NANO FILMS LLC
179,114-545-722-689-625,SPORTS BOARD,YEH TZONG IN
180,082-641-527-009-613,Method for Manufacturing Pouch Case for Secondary Battery,LG ENERGY SOLUTION LTD
181,093-316-782-875-201,Carpets having an improved delamination strength and fluid barrier properties and methods of making same,COLUMBIA INSURANCE CO
182,145-124-404-665-248,BICOMPONENT FIBER,SABIC GLOBAL TECHNOLOGIES BV
183,060-866-624-553-652,TITANIUM DIOXIDE-CONTAINING POLYPROPYLENE COMPOSITIONS FOR EXTERNAL ELEMENTS OF BIFACIAL PHOTOVOLTAIC MODULES,BOREALIS AG
184,097-477-507-396-188,LITHIUM-BASED SOLID ELECTROLYTE MATERIAL,LIVENT LITHIUM LLC
185,086-538-948-332-013,DEVELOPMENT OF NOVEL FILM STRUCTURES THAT SIGNIFICANTLY INCREASE THE CD TEAR PROPERTIES OF CAST STRETCH FILMS EVEN WHEN INCORPORATING PCR (POST-CONSUMER RECYCLED) RESINS INTO STANDARD MARKET FILM STRUCTURES,DOW GLOBAL TECHNOLOGIES LLC
186,062-735-313-132-335,"MOLD RELEASE FILM AND LAMINATE THEREOF, AND PRODUCTION METHOD FOR MEMBRANE ELECTRODE ASSEMBLY",DAICEL CORP
187,137-942-846-793-321,Mixture curable to provide a material for thermally insulating a substrate useable subsea,ADVANCED INNERGY LTD
188,091-078-884-006-927,RETORT PACKAGE AND COEXTRUDED FILM FOR RETORT PACKAGE,FLAIR FLEXIBLE PACKAGING CORP
189,028-391-624-832-516,Fiber for concrete reinforcement,ADFIL N V
190,165-980-915-108-651,"POLYPROPYLENE IMINE POLYMERS (PPI), THEIR PREPARATION, USES, AND COMPOSITIONS COMPRISING SUCH PPI",BASF SE
191,019-576-717-176-794,Fiber for concrete reinforcement,ADFIL N V
192,149-147-348-960-863,BIODEGRADABLE BLOOD PRESSURE CUFF,BANNACK MEDICAL LLC
193,126-959-769-126-120,BRANCHED PROPYLENE-BASED POLYMER,JAPAN POLYPROPYLENE CORP
194,161-479-529-808-081,Glass fiber filled flame retardant propylene composition,SABIC GLOBAL TECHNOLOGIES BV
195,001-071-268-295-589,TREE AND PLANT WATERING MAT,ZYNNOVATION LLC
196,188-638-357-273-732,"LAMINATE, PACKAGING BAG, AND HEAT STERILIZATION POUCH","DAI NIPPON PRINTING CO., LTD."
197,154-537-637-624-756,POLYMER MOLDED BODY COMPRISING BASE PART AND SURFACE LAYER PART,SUNALLOMER LTD
198,010-997-113-036-748,BIODEGRADABLE PATIENT LATERIAL TRANSFER SUPPORT SURFACE AND METHOD OF MAKING,BANNACK MEDICAL LLC
199,112-829-923-340-368,Preparation method of SM non-woven fabrics for roof anti-slip,DONGYING JOFO FILTRATION TECH CO LTD
200,076-415-439-965-194,SPUN-BONDED NON-WOVEN FABRIC,TORAY INDUSTRIES
201,034-834-545-008-278,FILM STRUCTURES HAVING INCREASED CROSS DIRECTION TEAR,DOW GLOBAL TECHNOLOGIES LLC
202,009-659-497-368-786,RESIN LAMINATE FOR PACKAGING MATERIAL,TOYO BOSEKI
203,156-411-314-010-484,"BIODEGRADABLE HOSPITAL CURTAIN AND CURTAIN SYSTEM, METHOD OF MAKING AND COMPOSITION",BANNACK MEDICAL LLC
204,123-378-982-929-737,"IMPACT MODIFIED POLYPROPYLENE COMPOSITION, ARTICLES AND METHOD OF PREPARING SAME",BRASKEM SA
205,098-920-743-867-041,Tubular irrigation device and method of making the same,SILVERPACK LLC
206,043-603-590-469-039,RECYCLABLE FRAME FILTER,AEOLUS FILTER CORPORATION
207,000-771-101-823-926,Pocketed Spring Assembly Having Dimensionally Stabilizing Substrate,L&P PROPERTY MAN CO
208,173-142-583-711-274,A FAMILY OF THERMOGELLING CATIONIC COPOLYMERS CONTAINING POLYETHYLENIMINE AND POLYPROPYLENE GLYCOL,AGENCY SCIENCE TECH & RES
209,003-436-578-382-137,POLYPROPYLENE-BASED RESIN EXPANDED BEADS AND MOLDED ARTICLE THEREOF,JSP CORP
210,193-890-350-899-703,Amorphous polyalphaolefin-containing polyolefin blend,EVONIK OPERATIONS GMBH
211,178-673-562-538-42X,FILM FORMER,ELEMENTIS SPECIALTIES INC
